background	FASN_negative	FASN_positive
RIC3	NA	NA
TMEM129	NA	NA
SUN2	NA	NA
LRRC8E	NA	NA
TXNDC2	NA	NA
SLC35F1	NA	NA
MELK	NA	NA
MAEL	NA	NA
SPATA7	NA	NA
TDRD10	NA	NA
ANKRD52	NA	NA
PITPNM2	NA	NA
SLC45A4	NA	NA
EMP3	NA	NA
C3orf65	NA	NA
FAM73A	NA	NA
RUSC2	NA	NA
COL4A2	NA	NA
TTC39B	NA	NA
ERGIC2	NA	NA
ROPN1L	NA	NA
C11orf65	NA	NA
LEAP2	NA	NA
GALT	NA	NA
TRAFD1	NA	NA
NGEF	NA	NA
C20orf201	NA	NA
PRDM15	NA	NA
KRTAP6-1	NA	NA
RABGAP1	NA	NA
GPR75	NA	NA
RHOBTB3	NA	NA
GDF2	NA	NA
PLEKHS1	NA	NA
DNASE1L2	NA	NA
APPBP2	NA	NA
KDELC2	NA	NA
KCNB2	NA	NA
CCDC140	NA	NA
LILRA1	NA	NA
PINK1	NA	NA
ORAI3	NA	NA
CAV1	NA	NA
SLC36A1	NA	NA
COL7A1	NA	NA
LRRFIP1	NA	NA
MIA2	NA	NA
DZIP1	NA	NA
SUPT5H	NA	NA
TSPYL5	NA	NA
GPR22	NA	NA
ETNK2	NA	NA
GUSB	NA	NA
ZNF572	NA	NA
PPP1R14A	NA	NA
DYNLRB2	NA	NA
SULT1A1	NA	NA
ZBED2	NA	NA
CCBL1	NA	NA
NUCB2	NA	NA
PRPF18	NA	NA
USP43	NA	NA
FAM215A	NA	NA
NAAA	NA	NA
CSF3	NA	NA
TBC1D8B	NA	NA
PLEKHG2	NA	NA
MMD2	NA	NA
KIAA0226L	NA	NA
SPG21	NA	NA
MAP3K1	NA	NA
NUMBL	NA	NA
ENTPD1	NA	NA
GPX1	NA	NA
PLBD1	NA	NA
ANKRD12	NA	NA
RGL3	NA	NA
PRDM11	NA	NA
FAM13A	NA	NA
FYCO1	NA	NA
PRAMEF12	NA	NA
SLBP	NA	NA
FYTTD1	NA	NA
OR6C70	NA	NA
UBASH3B	NA	NA
SPINK9	NA	NA
STAU1	NA	NA
NCSTN	NA	NA
GNL1	NA	NA
ERBB2IP	NA	NA
ASB17	NA	NA
OR52D1	NA	NA
RXFP4	NA	NA
MAP4K3	NA	NA
PLA2G4F	NA	NA
DPYD	NA	NA
CCDC173	NA	NA
EIF4EBP3	NA	NA
CAMK2B	NA	NA
MTR	NA	NA
CLDN11	NA	NA
SSR4	NA	NA
LURAP1L	NA	NA
GPR157	NA	NA
DCTD	NA	NA
INSM1	NA	NA
RGS9	NA	NA
ZUFSP	NA	NA
GPX5	NA	NA
XKR6	NA	NA
ECI2	NA	NA
SLC35A4	NA	NA
NCL	NA	NA
ARL6IP6	NA	NA
OR2AG2	NA	NA
CYP39A1	NA	NA
SIGLECL1	NA	NA
TTLL11	NA	NA
GMIP	NA	NA
SHISA2	NA	NA
TMEM38A	NA	NA
DEFB134	NA	NA
TCERG1L	NA	NA
PARD6G	NA	NA
OPHN1	NA	NA
GUCD1	NA	NA
CRYGD	NA	NA
JPH1	NA	NA
AAK1	NA	NA
CCDC160	NA	NA
TOMM6	NA	NA
BAG4	NA	NA
ARHGAP17	NA	NA
ACTRT3	NA	NA
BROX	NA	NA
IER2	NA	NA
C9orf41	NA	NA
MRM1	NA	NA
EIF2AK1	NA	NA
P4HA3	NA	NA
GRID2IP	NA	NA
PSPH	NA	NA
DCUN1D3	NA	NA
CD40	NA	NA
HAS2	NA	NA
ENTPD2	NA	NA
KALRN	NA	NA
NUDT16L1	NA	NA
C20orf197	NA	NA
FEM1C	NA	NA
STS	NA	NA
SERPINH1	NA	NA
HS3ST6	NA	NA
APOO	NA	NA
TSC22D1	NA	NA
MOV10	NA	NA
GDAP2	NA	NA
RERG	NA	NA
IDH3B	NA	NA
SH3D19	NA	NA
TULP3	NA	NA
DPF1	NA	NA
TAS2R41	NA	NA
DNPEP	NA	NA
GPC4	NA	NA
PELP1	NA	NA
COL6A6	NA	NA
CBLB	NA	NA
LDHAL6A	NA	NA
TAB1	NA	NA
PROCA1	NA	NA
DTNBP1	NA	NA
GABRQ	NA	NA
DUSP10	NA	NA
GNAL	NA	NA
RPGR	NA	NA
SPATA9	NA	NA
SLIT3	NA	NA
RSPH4A	NA	NA
ETV7	NA	NA
ATRAID	NA	NA
PRPH2	NA	NA
LRTM2	NA	NA
FAM101A	NA	NA
TTC32	NA	NA
IL2RG	NA	NA
SPZ1	NA	NA
FAM73B	NA	NA
PTPRCAP	NA	NA
PSMB10	NA	NA
CHL1	NA	NA
OR51F1	NA	NA
SRRT	NA	NA
SEPT5	NA	NA
FHL1	NA	NA
FAM53C	NA	NA
ZNF470	NA	NA
ZNF821	NA	NA
CISH	NA	NA
TMEM176A	NA	NA
MPZL2	NA	NA
DGAT1	NA	NA
DACT2	NA	NA
CHST4	NA	NA
PAX5	NA	NA
MFAP3	NA	NA
APPL2	NA	NA
TLE4	NA	NA
ZNF81	NA	NA
NCK1	NA	NA
FADD	NA	NA
RAB6C	NA	NA
SLC8A3	NA	NA
KISS1	NA	NA
ALPK2	NA	NA
TOR1AIP1	NA	NA
STARD6	NA	NA
FASTKD2	NA	NA
TTC5	NA	NA
KAL1	NA	NA
TRIP6	NA	NA
CLEC9A	NA	NA
LTC4S	NA	NA
MAPK13	NA	NA
IL5	NA	NA
SLC16A2	NA	NA
PLA2G2F	NA	NA
OR5P2	NA	NA
APOBEC3G	NA	NA
DHRS3	NA	NA
HABP2	NA	NA
PLEKHB2	NA	NA
GPR135	NA	NA
TCF4	NA	NA
KLF3	NA	NA
ABLIM1	NA	NA
TMEM42	NA	NA
EFNB1	NA	NA
ACER1	NA	NA
YTHDC1	NA	NA
SOWAHD	NA	NA
TRUB1	NA	NA
GATM	NA	NA
OR6C68	NA	NA
RPL23	NA	NA
CRISPLD2	NA	NA
MRPL40	NA	NA
WHSC1	NA	NA
TRPV6	NA	NA
SOX3	NA	NA
ZNF485	NA	NA
BOLL	NA	NA
EPN1	NA	NA
CAMTA2	NA	NA
ADAR	NA	NA
KCNQ1	NA	NA
ZNF775	NA	NA
GCNT4	NA	NA
FAM220A	NA	NA
ZBTB16	NA	NA
CHMP7	NA	NA
HPS1	NA	NA
GDPD5	NA	NA
COMMD5	NA	NA
ZNF425	NA	NA
TAS2R38	NA	NA
SLC2A10	NA	NA
TOPAZ1	NA	NA
LACC1	NA	NA
FGF14	NA	NA
KRT25	NA	NA
KRTAP20-3	NA	NA
KCNJ1	NA	NA
CLSTN3	NA	NA
PCDHGB4	NA	NA
CCL17	NA	NA
PTGIS	NA	NA
NSG2	NA	NA
MTCH2	NA	NA
GPR125	NA	NA
CACNG6	NA	NA
MCF2L2	NA	NA
NKAIN1	NA	NA
AP2A2	NA	NA
NCCRP1	NA	NA
GLDN	NA	NA
TFR2	NA	NA
C1orf100	NA	NA
MS4A6E	NA	NA
MEIS3	NA	NA
ZFAND2B	NA	NA
LAMC3	NA	NA
ENTPD8	NA	NA
SPATA6	NA	NA
AGGF1	NA	NA
SRPX2	NA	NA
ZDHHC15	NA	NA
MRPS25	NA	NA
DKK4	NA	NA
MCF2L	NA	NA
MUC16	NA	NA
ZNF720	NA	NA
PBLD	NA	NA
ARL5A	NA	NA
TMEM254	NA	NA
TMTC4	NA	NA
ZNF594	NA	NA
C12orf73	NA	NA
SOHLH1	NA	NA
GJB6	NA	NA
UBR3	NA	NA
PDIA5	NA	NA
LAT	NA	NA
TH	NA	NA
C19orf33	NA	NA
NDUFB8	NA	NA
UPP1	NA	NA
CAAP1	NA	NA
PARM1	NA	NA
GDF7	NA	NA
RNF182	NA	NA
CASP7	NA	NA
RBP7	NA	NA
SMURF2	NA	NA
ZNF544	NA	NA
C16orf11	NA	NA
MBP	NA	NA
C9orf85	NA	NA
ZNF644	NA	NA
SPINK14	NA	NA
CCNA1	NA	NA
HLA-DQA2	NA	NA
TPM3	NA	NA
FBXL6	NA	NA
SNX10	NA	NA
MYD88	NA	NA
TPTE2	NA	NA
CLEC2L	NA	NA
ZNF398	NA	NA
RNF144B	NA	NA
HNRNPH2	NA	NA
NME6	NA	NA
DAB1	NA	NA
ZNF558	NA	NA
PPP1R13L	NA	NA
SAP130	NA	NA
CKAP2	NA	NA
MYOM3	NA	NA
DRAM2	NA	NA
C17orf85	NA	NA
KIF4B	NA	NA
UBE2U	NA	NA
LCN10	NA	NA
ZNF772	NA	NA
SAMHD1	NA	NA
CNTN1	NA	NA
DNAJC28	NA	NA
ORM2	NA	NA
GRM4	NA	NA
PSMB1	NA	NA
CEP250	NA	NA
MFRP	NA	NA
SOGA3	NA	NA
BTNL8	NA	NA
CEP95	NA	NA
PTGFRN	NA	NA
TSPEAR	NA	NA
MCCC1	NA	NA
DACT1	NA	NA
PPP1R42	NA	NA
TMEM121	NA	NA
INHBB	NA	NA
ITCH	NA	NA
MARVELD3	NA	NA
SLC13A4	NA	NA
MAS1L	NA	NA
FCER1G	NA	NA
NLRC4	NA	NA
FUT10	NA	NA
PHF6	NA	NA
SNX5	NA	NA
CCDC67	NA	NA
TRAF3IP3	NA	NA
ASS1	NA	NA
ARID4A	NA	NA
IGSF6	NA	NA
OGFRL1	NA	NA
FAAH	NA	NA
GPR115	NA	NA
LRRTM2	NA	NA
CASP3	NA	NA
RGS1	NA	NA
CRYAA	NA	NA
OR1N1	NA	NA
KIAA1244	NA	NA
SEMG2	NA	NA
APOL5	NA	NA
CD74	NA	NA
MTERFD3	NA	NA
ARHGAP18	NA	NA
AADAC	NA	NA
NAV2	NA	NA
CTRL	NA	NA
DNM2	NA	NA
IFNE	NA	NA
KAZALD1	NA	NA
FEZ2	NA	NA
ACAA2	NA	NA
CER1	NA	NA
SLC35F5	NA	NA
DIAPH2	NA	NA
OR6F1	NA	NA
ANKK1	NA	NA
CCDC141	NA	NA
SLC28A1	NA	NA
WWC2	NA	NA
ENPP2	NA	NA
FARP1	NA	NA
SYNDIG1	NA	NA
ABHD3	NA	NA
ARL8A	NA	NA
MRFAP1L1	NA	NA
SLC16A11	NA	NA
TECRL	NA	NA
CSTA	NA	NA
GRIN3A	NA	NA
C18orf25	NA	NA
SMO	NA	NA
ASCL2	NA	NA
CACNA2D3	NA	NA
AIF1L	NA	NA
CCDC144NL	NA	NA
ABR	NA	NA
PRIMA1	NA	NA
STX1B	NA	NA
BDH1	NA	NA
BRD3	NA	NA
ATP8A2	NA	NA
SIRT4	NA	NA
KLHL6	NA	NA
UNK	NA	NA
C1orf159	NA	NA
ZFAND3	NA	NA
CAPN13	NA	NA
LIPH	NA	NA
C7orf41	NA	NA
IFFO1	NA	NA
ANKRD28	NA	NA
ANKRD6	NA	NA
CSNK1A1L	NA	NA
DIRAS2	NA	NA
AGBL3	NA	NA
RRM2	NA	NA
PURG	NA	NA
ACRV1	NA	NA
GRAMD4	NA	NA
ADD1	NA	NA
TMEM231	NA	NA
AOX1	NA	NA
FGF9	NA	NA
ZFP37	NA	NA
RHOF	NA	NA
COL6A2	NA	NA
KPNA6	NA	NA
C14orf23	NA	NA
ITFG1	NA	NA
GYS1	NA	NA
HRG	NA	NA
TTC39A	NA	NA
IRF3	NA	NA
SMLR1	NA	NA
PCDHA12	NA	NA
SERPINB3	NA	NA
KCTD2	NA	NA
MED30	NA	NA
ATG4B	NA	NA
C16orf93	NA	NA
TGOLN2	NA	NA
SERBP1	NA	NA
HMCES	NA	NA
MSGN1	NA	NA
PDE6G	NA	NA
CTXN1	NA	NA
TAC4	NA	NA
KCNJ5	NA	NA
TOM1	NA	NA
SMPDL3A	NA	NA
C7orf65	NA	NA
CTNNAL1	NA	NA
FANCD2OS	NA	NA
C10orf54	NA	NA
EVC2	NA	NA
NUP37	NA	NA
RFX6	NA	NA
LDLRAD4	NA	NA
SLC35G3	NA	NA
SRSF4	NA	NA
CYLC1	NA	NA
IQCH	NA	NA
PLD3	NA	NA
RALBP1	NA	NA
DOCK6	NA	NA
KLK14	NA	NA
H2AFY	NA	NA
TPTE	NA	NA
AASS	NA	NA
CCT8L2	NA	NA
TOP2B	NA	NA
CTNND2	NA	NA
CRELD1	NA	NA
MSANTD1	NA	NA
RNF133	NA	NA
FAM166B	NA	NA
VSTM2L	NA	NA
DHX40	NA	NA
ZNF543	NA	NA
CALD1	NA	NA
KXD1	NA	NA
SPO11	NA	NA
RHCE	NA	NA
XPA	NA	NA
EIF2S2	NA	NA
OR1D2	NA	NA
FLJ27365	NA	NA
SH3RF2	NA	NA
FAM3B	NA	NA
GNA11	NA	NA
C9orf43	NA	NA
RXRG	NA	NA
PARVG	NA	NA
POPDC3	NA	NA
VPS33B	NA	NA
IFT57	NA	NA
EBPL	NA	NA
ZNF551	NA	NA
CYP4A11	NA	NA
MDGA1	NA	NA
TMPRSS3	NA	NA
UGT1A10	NA	NA
SOX6	NA	NA
ZBTB42	NA	NA
WBP2NL	NA	NA
TMED8	NA	NA
GPR126	NA	NA
GSC	NA	NA
SLC38A8	NA	NA
EBF2	NA	NA
C9orf117	NA	NA
BTLA	NA	NA
CHCHD3	NA	NA
BIVM	NA	NA
ETS2	NA	NA
WASF1	NA	NA
PRTFDC1	NA	NA
FGF4	NA	NA
SNX18	NA	NA
DHRS7B	NA	NA
CH25H	NA	NA
PARP10	NA	NA
SYTL5	NA	NA
DNAH8	NA	NA
CLEC19A	NA	NA
LDHC	NA	NA
C8orf37	NA	NA
CYP2C8	NA	NA
ARMC8	NA	NA
SPTSSB	NA	NA
DENND3	NA	NA
KHDRBS3	NA	NA
CECR1	NA	NA
BLOC1S6	NA	NA
PITX3	NA	NA
ARMC2	NA	NA
NLRP3	NA	NA
SLC9C1	NA	NA
IL24	NA	NA
DEFB135	NA	NA
ZP2	NA	NA
BTBD19	NA	NA
MYT1L	NA	NA
SP140	NA	NA
FAM186A	NA	NA
FZD6	NA	NA
DLK1	NA	NA
GBP1	NA	NA
C18orf8	NA	NA
DYRK3	NA	NA
RPS6KA6	NA	NA
C2CD4D	NA	NA
KCNMA1	NA	NA
MLF2	NA	NA
TMOD1	NA	NA
SMYD4	NA	NA
TCEAL8	NA	NA
GATA6	NA	NA
CRYBA2	NA	NA
SORT1	NA	NA
TMEM27	NA	NA
TAPBP	NA	NA
TDG	NA	NA
SOX1	NA	NA
ANO2	NA	NA
NEU2	NA	NA
C4orf47	NA	NA
C8B	NA	NA
CPED1	NA	NA
ID2	NA	NA
SKOR2	NA	NA
ANKLE2	NA	NA
ZNF250	NA	NA
OR56A1	NA	NA
RABGAP1L	NA	NA
NENF	NA	NA
PAG1	NA	NA
UNC13C	NA	NA
TRAK2	NA	NA
ZNF880	NA	NA
MAVS	NA	NA
DLX6	NA	NA
CD160	NA	NA
DARC	NA	NA
POLR2H	NA	NA
ARRDC1	NA	NA
OR4A15	NA	NA
ART4	NA	NA
SOX21	NA	NA
PEBP4	NA	NA
CELA1	NA	NA
ZFP57	NA	NA
RBM12B	NA	NA
LMNB1	NA	NA
HLA-DOA	NA	NA
PCGF2	NA	NA
SSH1	NA	NA
DLGAP1	NA	NA
NSUN6	NA	NA
RP11-766F14.2	NA	NA
NLRP4	NA	NA
SLIT2	NA	NA
IGSF10	NA	NA
SLC23A1	NA	NA
RUNDC1	NA	NA
RTN2	NA	NA
CDADC1	NA	NA
SYTL3	NA	NA
F8	NA	NA
C9orf50	NA	NA
C4orf32	NA	NA
MAP10	NA	NA
SLC5A5	NA	NA
C16orf98	NA	NA
DNER	NA	NA
SMTNL1	NA	NA
VSTM4	NA	NA
CAMKMT	NA	NA
ROCK1	NA	NA
KRT18	NA	NA
SLPI	NA	NA
ACSM2B	NA	NA
IL21	NA	NA
C5orf60	NA	NA
C1orf173	NA	NA
RNF114	NA	NA
TEAD3	NA	NA
SDC1	NA	NA
DVL3	NA	NA
OR1S2	NA	NA
NBPF3	NA	NA
SH2B3	NA	NA
GUCA1B	NA	NA
SLC35G1	NA	NA
EFEMP1	NA	NA
AMMECR1	NA	NA
IL1RAPL2	NA	NA
DST	NA	NA
SSTR3	NA	NA
ANKRD50	NA	NA
ABCC9	NA	NA
SPATA16	NA	NA
RHOQ	NA	NA
SIAE	NA	NA
PDF	NA	NA
NKX6-3	NA	NA
CLGN	NA	NA
MYOZ3	NA	NA
HDDC2	NA	NA
DUOXA1	NA	NA
PNPLA6	NA	NA
C1orf229	NA	NA
PRAM1	NA	NA
RBP1	NA	NA
OCSTAMP	NA	NA
KCNK18	NA	NA
ZPBP2	NA	NA
PRKAR1B	NA	NA
ERG	NA	NA
FAM171A2	NA	NA
SFRP5	NA	NA
KRTAP12-4	NA	NA
SOD3	NA	NA
MYNN	NA	NA
ATP6V0C	NA	NA
LRRC8D	NA	NA
TSN	NA	NA
OR8A1	NA	NA
CRYBA1	NA	NA
NEK7	NA	NA
A4GNT	NA	NA
FOXG1	NA	NA
WDFY3	NA	NA
KRTAP13-3	NA	NA
OR2Y1	NA	NA
U2AF2	NA	NA
RAMP1	NA	NA
NUP62CL	NA	NA
DEFB126	NA	NA
IL19	NA	NA
HN1L	NA	NA
TRIM24	NA	NA
CLEC4M	NA	NA
ITGA9	NA	NA
REST	NA	NA
CUX1	NA	NA
VNN1	NA	NA
CCNB1	NA	NA
GPX3	NA	NA
TLL1	NA	NA
GSTO1	NA	NA
VAPA	NA	NA
KANSL1L	NA	NA
CDKN2B	NA	NA
RNF26	NA	NA
CDC42	NA	NA
MRGPRX4	NA	NA
MXRA5	NA	NA
MED15	NA	NA
GRIA1	NA	NA
C5orf27	NA	NA
MBOAT1	NA	NA
PRAC1	NA	NA
IGIP	NA	NA
NIPAL4	NA	NA
FAM83G	NA	NA
NCF2	NA	NA
OTOR	NA	NA
HIP1R	NA	NA
BMP8A	NA	NA
GPT	NA	NA
ABCB9	NA	NA
CELA2A	NA	NA
DND1	NA	NA
FAM83H	NA	NA
TMEM99	NA	NA
UTRN	NA	NA
OR4F15	NA	NA
NOD1	NA	NA
GSE1	NA	NA
RECQL	NA	NA
DCLK2	NA	NA
GCSAML	NA	NA
PCDP1	NA	NA
TMEM187	NA	NA
GRID1	NA	NA
GPSM2	NA	NA
CYSLTR1	NA	NA
IL4I1	NA	NA
FUNDC1	NA	NA
SLC18A3	NA	NA
ANO1	NA	NA
NIPSNAP1	NA	NA
HGF	NA	NA
ZC4H2	NA	NA
FAM9B	NA	NA
GIMAP8	NA	NA
MSX1	NA	NA
WDR27	NA	NA
ZFP3	NA	NA
PCDHGA3	NA	NA
HAP1	NA	NA
OR52K1	NA	NA
BCORL1	NA	NA
OR2T4	NA	NA
SGMS1	NA	NA
ZNF528	NA	NA
CGNL1	NA	NA
RAD23A	NA	NA
TNFSF11	NA	NA
KRTAP10-10	NA	NA
CAMK2N1	NA	NA
SLC10A5	NA	NA
MMP8	NA	NA
ZNF844	NA	NA
C16orf47	NA	NA
HSD17B1	NA	NA
GPR34	NA	NA
GMFB	NA	NA
OAS3	NA	NA
CNTLN	NA	NA
ZSCAN5C	NA	NA
SLC19A3	NA	NA
RELL2	NA	NA
LGALS3BP	NA	NA
PGR	NA	NA
KIAA0895L	NA	NA
SHBG	NA	NA
GFRA3	NA	NA
FLCN	NA	NA
C9orf156	NA	NA
DCLK1	NA	NA
ERN1	NA	NA
MAP2K4	NA	NA
ADIPOQ	NA	NA
ZNF502	NA	NA
FBLIM1	NA	NA
KCNQ3	NA	NA
CXorf57	NA	NA
CEP72	NA	NA
AMDHD1	NA	NA
RBM34	NA	NA
GSX1	NA	NA
STOX2	NA	NA
KHK	NA	NA
KCNAB1	NA	NA
MACF1	NA	NA
KCNS2	NA	NA
KLHL2	NA	NA
SIN3A	NA	NA
SGIP1	NA	NA
ZBTB11	NA	NA
MYEF2	NA	NA
LITAF	NA	NA
MEN1	NA	NA
KIF21B	NA	NA
GSTM4	NA	NA
FBXL15	NA	NA
HAVCR2	NA	NA
UBXN10	NA	NA
CTTN	NA	NA
TNFAIP8L3	NA	NA
OR51B4	NA	NA
KATNAL1	NA	NA
NWD1	NA	NA
CRY1	NA	NA
KRTAP20-2	NA	NA
TMPRSS4	NA	NA
SLC1A2	NA	NA
KRTAP20-4	NA	NA
MOB3A	NA	NA
CLCN4	NA	NA
AK4	NA	NA
SCN9A	NA	NA
ATPIF1	NA	NA
PIGG	NA	NA
ZNF781	NA	NA
SLC6A18	NA	NA
SYCE3	NA	NA
CDKL5	NA	NA
SLC43A3	NA	NA
SECISBP2L	NA	NA
OR1M1	NA	NA
LRRC14	NA	NA
ZNF625	NA	NA
DZANK1	NA	NA
S100A1	NA	NA
OR10J1	NA	NA
CDHR4	NA	NA
PCDHA1	NA	NA
CYB5D1	NA	NA
TRAT1	NA	NA
STAM2	NA	NA
TCF7	NA	NA
TMEM19	NA	NA
NDST4	NA	NA
DLL4	NA	NA
MTOR	NA	NA
OR2B2	NA	NA
DDX19B	NA	NA
MFSD10	NA	NA
AGPAT4	NA	NA
LYZL4	NA	NA
EGF	NA	NA
DMBT1	NA	NA
PPM1L	NA	NA
BHLHB9	NA	NA
ZC3H12D	NA	NA
SLCO1C1	NA	NA
FHL5	NA	NA
USP29	NA	NA
OTUD7A	NA	NA
KIAA1377	NA	NA
CADPS2	NA	NA
ARHGAP20	NA	NA
MYEOV	NA	NA
STIM1	NA	NA
FDPS	NA	NA
OR7A17	NA	NA
FAM149A	NA	NA
DCXR	NA	NA
ZMAT1	NA	NA
SLC25A53	NA	NA
NAGLU	NA	NA
MFF	NA	NA
NUTM1	NA	NA
DHODH	NA	NA
LHFP	NA	NA
CLEC4G	NA	NA
CDCA7L	NA	NA
DLX1	NA	NA
PCSK9	NA	NA
SPI1	NA	NA
NAPB	NA	NA
PTDSS2	NA	NA
F5	NA	NA
SIAH3	NA	NA
PPARGC1A	NA	NA
SLC38A11	NA	NA
CCDC64	NA	NA
TMPRSS13	NA	NA
VAX1	NA	NA
CCL22	NA	NA
ARPC2	NA	NA
PLIN2	NA	NA
FAM45A	NA	NA
TGFBR3L	NA	NA
OR2V1	NA	NA
GPX8	NA	NA
SPATA4	NA	NA
ARHGAP36	NA	NA
RAI14	NA	NA
KRAS	NA	NA
PRSS3	NA	NA
COLEC12	NA	NA
FAM96A	NA	NA
P2RX2	NA	NA
ABCA9	NA	NA
VN1R1	NA	NA
NHSL2	NA	NA
MOCOS	NA	NA
OR52N4	NA	NA
TATDN2	NA	NA
PLS1	NA	NA
IGF1	NA	NA
ZXDC	NA	NA
YWHAG	NA	NA
HAS3	NA	NA
NBEA	NA	NA
VSNL1	NA	NA
NPNT	NA	NA
C9orf3	NA	NA
HS6ST2	NA	NA
HIST1H2AK	NA	NA
SPSB2	NA	NA
RHNO1	NA	NA
POP1	NA	NA
ZBTB38	NA	NA
CD46	NA	NA
OR6C4	NA	NA
TMPRSS5	NA	NA
RNF128	NA	NA
GEMIN2	NA	NA
AGBL1	NA	NA
TMEM158	NA	NA
AP1M1	NA	NA
KCTD4	NA	NA
PPM1J	NA	NA
TTLL2	NA	NA
OR6N2	NA	NA
CYP2D6	NA	NA
NTF3	NA	NA
AKR1E2	NA	NA
OR5I1	NA	NA
TRPV3	NA	NA
FZD7	NA	NA
BGLAP	NA	NA
CHSY1	NA	NA
LILRA5	NA	NA
DOK7	NA	NA
SPRN	NA	NA
C5orf22	NA	NA
GLRA4	NA	NA
TEX13B	NA	NA
ATP7B	NA	NA
MPHOSPH6	NA	NA
ZNF774	NA	NA
PSMC3	NA	NA
FAM217A	NA	NA
FAM198B	NA	NA
CASKIN1	NA	NA
OSBPL1A	NA	NA
FAM187B	NA	NA
UNCX	NA	NA
KIAA0753	NA	NA
APOC3	NA	NA
MAPK7	NA	NA
KRTAP1-4	NA	NA
CCDC68	NA	NA
TSPAN31	NA	NA
NCOA4	NA	NA
PSMB3	NA	NA
ZNF154	NA	NA
YOD1	NA	NA
CHST9	NA	NA
GPBP1L1	NA	NA
TMEM47	NA	NA
POLR2G	NA	NA
TNFSF12	NA	NA
NLRP9	NA	NA
SLIT1	NA	NA
CASP10	NA	NA
PKD2	NA	NA
NINJ1	NA	NA
JAKMIP3	NA	NA
PEX11A	NA	NA
NR3C1	NA	NA
TRAM1L1	NA	NA
ITGB1BP2	NA	NA
AP3S2	NA	NA
CCDC138	NA	NA
MTSS1	NA	NA
COMMD9	NA	NA
NDUFA12	NA	NA
PARD6A	NA	NA
ZDHHC2	NA	NA
CLDN7	NA	NA
GPR31	NA	NA
RNF113B	NA	NA
SLC36A3	NA	NA
PATE1	NA	NA
SLC6A14	NA	NA
ZBTB22	NA	NA
RPLP1	NA	NA
MOAP1	NA	NA
TMEM95	NA	NA
KRT17	NA	NA
TRIM42	NA	NA
TFEC	NA	NA
TOMM7	NA	NA
DIEXF	NA	NA
GRWD1	NA	NA
RASSF6	NA	NA
SULT1C4	NA	NA
SDCCAG3	NA	NA
EPSTI1	NA	NA
ARG2	NA	NA
SLC22A7	NA	NA
AURKC	NA	NA
INTU	NA	NA
CLEC10A	NA	NA
FAM177B	NA	NA
FEZF1	NA	NA
RANBP3L	NA	NA
EAF2	NA	NA
KCNK1	NA	NA
WNT16	NA	NA
HIST1H3A	NA	NA
SNCB	NA	NA
GPR183	NA	NA
ATP5G2	NA	NA
HYDIN	NA	NA
ZBTB32	NA	NA
CDC14B	NA	NA
ATRNL1	NA	NA
DEFB1	NA	NA
COL8A1	NA	NA
AADAT	NA	NA
WRNIP1	NA	NA
KCNK15	NA	NA
UTP3	NA	NA
GANC	NA	NA
TBX20	NA	NA
S100A4	NA	NA
TMC8	NA	NA
CDSN	NA	NA
N4BP2	NA	NA
WIF1	NA	NA
STON2	NA	NA
METAP1D	NA	NA
HIST1H2AA	NA	NA
AIMP1	NA	NA
CPA2	NA	NA
MACROD1	NA	NA
EMR1	NA	NA
RAB39B	NA	NA
UPB1	NA	NA
BTBD16	NA	NA
DIAPH1	NA	NA
HOXD12	NA	NA
TAS2R50	NA	NA
TPD52L2	NA	NA
STK11IP	NA	NA
ZBTB46	NA	NA
TMEM237	NA	NA
ZBTB41	NA	NA
FDCSP	NA	NA
C11orf88	NA	NA
CPNE6	NA	NA
KCNIP4	NA	NA
CLCN1	NA	NA
KBTBD4	NA	NA
MAP3K7CL	NA	NA
ANO9	NA	NA
PRICKLE3	NA	NA
HSDL2	NA	NA
IFIT5	NA	NA
DDX39B	NA	NA
HTR3A	NA	NA
EIF2S3L	NA	NA
IAPP	NA	NA
IGFBP2	NA	NA
S100A10	NA	NA
ZNF22	NA	NA
GP5	NA	NA
ZNF765	NA	NA
DCBLD1	NA	NA
POLR3E	NA	NA
NPC1L1	NA	NA
FBXO45	NA	NA
TFRC	NA	NA
SP4	NA	NA
PLA2G12A	NA	NA
CORO1A	NA	NA
JMY	NA	NA
OR10H3	NA	NA
AGT	NA	NA
SOX11	NA	NA
SLK	NA	NA
ABCC2	NA	NA
ARL6	NA	NA
VAT1	NA	NA
CDCA2	NA	NA
ADRB2	NA	NA
PPAP2C	NA	NA
ZCCHC24	NA	NA
MYO9A	NA	NA
SLC10A4	NA	NA
R3HDML	NA	NA
OR6V1	NA	NA
MARCKSL1	NA	NA
KIAA0319L	NA	NA
OR5D14	NA	NA
CDKN1A	NA	NA
DSCR3	NA	NA
DEFB115	NA	NA
ITGA2	NA	NA
SIX3	NA	NA
GPR155	NA	NA
PGBD2	NA	NA
FERMT3	NA	NA
DNAJA4	NA	NA
CHPF	NA	NA
BCR	NA	NA
OPN3	NA	NA
RNASEK	NA	NA
HSF1	NA	NA
TMEM184C	NA	NA
SPATA22	NA	NA
CES2	NA	NA
CEACAM16	NA	NA
TMEM59L	NA	NA
PIK3CG	NA	NA
RPS19BP1	NA	NA
CES4A	NA	NA
LOXL3	NA	NA
F10	NA	NA
SLC38A5	NA	NA
HIST1H2AM	NA	NA
